Participant F157:
F157の個人的体験を以下に抽出します：

1. 女学校時代に出雲の今市女学校に通っていた。

2. 学校の中に平田植物園があり、出雲地方の薬草がたくさん植えられていた。

3. 専門学校は広島に行った。

4. 子供の頃、夏休みになると従姉妹のA2ちゃんと2人で親戚のおばさんの家に泊まりに行っていた。朝早く海岸散歩をしたりした。

5. 父親が厳しかったと感じている。

6. 13人家族で育ち、女中さんが3人いた。親にあまりかまってもらった記憶がない。

7. 子供の勉強を見てもらった記憶がない。

8. 下の子のNとよく一緒に出かけていた。

9. 友の会の活動に参加している。

10. 香港旅行に行ったことがある。買い物ツアーで、先生について行った。

11. 立山に行ったことがあり、寒くてストーブをたいていた記憶がある。

12. 松本城にも行ったことがある。

13. 50代の頃、友人たちとよく旅行に出かけていた。

14. 夫と一緒に海外旅行にも行った。

15. 現在77歳である。
